"datetime","lake","depth","depth_id","variable","unit","observation"
"5/20/2024 09:00","peter",NA,NA,"secchi","m",3.2
"5/21/2024 09:00","paul",NA,NA,"secchi","m",5.07
"5/22/2024 09:00","tuesday",NA,NA,"secchi","m",1.85
"5/27/2024 09:00","peter",NA,NA,"secchi","m",3.55
"5/28/2024 09:00","paul",NA,NA,"secchi","m",5.2
"5/29/2024 09:00","tuesday",NA,NA,"secchi","m",2.55
"6/3/2024 09:00","peter",NA,NA,"secchi","m",3.8
"6/4/2024 09:00","paul",NA,NA,"secchi","m",5.5
"6/5/2024 09:00","tuesday",NA,NA,"secchi","m",2.55
"6/10/2024 09:00","peter",NA,NA,"secchi","m",4
"6/11/2024 09:00","paul",NA,NA,"secchi","m",4.9
"6/12/2024 09:00","tuesday",NA,NA,"secchi","m",2.05
"6/17/2024 09:00","peter",NA,NA,"secchi","m",3.88
"6/18/2024 09:00","paul",NA,NA,"secchi","m",5.4
"6/19/2024 09:00","tuesday",NA,NA,"secchi","m",2
"6/24/2024 09:00","peter",NA,NA,"secchi","m",3.25
"6/25/2024 09:00","paul",NA,NA,"secchi","m",NA
"6/26/2024 09:00","tuesday",NA,NA,"secchi","m",1.63
"7/1/2024 09:00","peter",NA,NA,"secchi","m",3.85
"7/2/2024 09:00","paul",NA,NA,"secchi","m",4.25
"7/3/2024 09:00","tuesday",NA,NA,"secchi","m",1.65
"7/8/2024 09:00","peter",NA,NA,"secchi","m",2.3
"7/9/2024 09:00","paul",NA,NA,"secchi","m",4.7
"7/10/2024 09:00","tuesday",NA,NA,"secchi","m",2.15
"7/15/2024 09:00","peter",NA,NA,"secchi","m",1.7
"7/16/2024 09:00","paul",NA,NA,"secchi","m",3.82
"7/17/2024 09:00","tuesday",NA,NA,"secchi","m",1.9
"7/22/2024 09:00","peter",NA,NA,"secchi","m",1.33
"7/23/2024 09:00","paul",NA,NA,"secchi","m",4.95
"7/24/2024 09:00","tuesday",NA,NA,"secchi","m",2.15
"7/29/2024 09:00","peter",NA,NA,"secchi","m",1.95
"7/30/2024 09:00","paul",NA,NA,"secchi","m",6
"7/31/2024 09:00","tuesday",NA,NA,"secchi","m",1.63
"8/5/2024 09:00","peter",NA,NA,"secchi","m",1.38
"8/6/2024 09:00","paul",NA,NA,"secchi","m",6.53
"8/7/2024 09:00","tuesday",NA,NA,"secchi","m",1.5
"8/12/2024 09:00","peter",NA,NA,"secchi","m",4.03
"8/3/2024 09:00","paul",NA,NA,"secchi","m",6.13
"8/14/2024 09:00","tuesday",NA,NA,"secchi","m",2
"8/19/2024 09:00","peter",NA,NA,"secchi","m",3.6
"8/20/2024 09:00","paul",NA,NA,"secchi","m",5.75
"8/21/2024 09:00","tuesday",NA,NA,"secchi","m",0.9
